,LATITUDE,LONGITUDE,MISSIONDATE,WEATHERFAILS,MECHANICALFAILS,MISCFAILS
3,38.43,15.9,1943-08-15,,,1.0
1237,39.27,16.25,1943-08-19,1.0,,
1838,40.67,14.73,1943-08-22,,,10.0
2139,39.8,16.2,1943-08-24,12.0,,
3810,40.07,15.63,1943-08-31,,1.0,
5063,39.27,16.25,1943-09-04,1.0,,
7657,39.27,16.25,1943-09-12,,,8.0
7660,39.27,16.25,1943-09-12,,,3.0
7946,40.57,15.43,1943-09-13,,,3.0
8206,40.9,14.78,1943-09-14,1.0,,
8208,40.62,14.97,1943-09-14,1.0,,
8885,39.27,16.25,1943-09-16,1.0,,
9189,40.62,14.97,1943-09-17,2.0,,
9193,40.78,15.22,1943-09-17,,,2.0
9464,40.8,14.6,1943-09-18,1.0,,
9467,40.57,15.43,1943-09-18,1.0,,
9743,41.22,16.25,1943-09-19,1.0,,
10319,40.73,14.62,1943-09-22,1.0,,
10624,40.12,15.83,1943-09-23,1.0,,
12672,41.0,15.0,1943-10-04,,8.0,
13221,42.0,13.0,1943-10-06,,8.0,
14439,40.0,13.0,1943-10-13,1.0,,
14445,41.02,13.92,1943-10-13,1.0,,
14470,41.22,14.22,1943-10-14,1.0,,
14758,41.32,14.28,1943-10-16,,1.0,
15038,41.48,14.03,1943-10-18,2.0,,
15615,41.25,13.75,1943-10-21,1.0,,
15668,42.45,11.22,1943-10-22,1.0,,1.0
15669,39.27,16.25,1943-10-22,1.0,,
15671,41.9,12.47,1943-10-22,1.0,,
15935,39.27,16.25,1943-10-23,1.0,,
15939,41.2,13.57,1943-10-23,1.0,,1.0
16235,41.48,14.03,1943-10-24,1.0,,
16810,41.38,13.97,1943-10-28,1.0,,
16825,41.25,13.75,1943-10-29,,,1.0
17113,41.33,13.67,1943-11-01,1.0,,
17459,41.57,12.83,1943-11-03,,2.0,
18016,41.33,13.67,1943-11-05,2.0,,
18022,41.27,13.25,1943-11-05,1.0,,
18315,41.47,13.9,1943-11-06,1.0,,
